ticker,name,close,change,change_abs,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,volume,market_cap_basic,sector,industry
NYSE:BAC/PK,BAC/PK,25.1701,0.16%,0.0401,0.72%,-0.28%,2.95%,3.71%,1.74%,-0.59%,-8.54%,0.68%,"26,005","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PL,BAC/PL,1261.0000,0.70%,8.7900,-0.86%,-2.47%,3.19%,6.41%,3.07%,0.79%,-14.33%,16.76%,834,"$383,383,578,036",Finance,Major Banks
NYSE:BAC/PM,BAC/PM,23.1150,0.11%,0.0250,0.59%,-0.92%,5.43%,4.55%,1.47%,-4.68%,-14.26%,-7.43%,"36,963","$383,383,578,036",Finance,Major Banks
NYSE:BML/PJ,BML/PJ,21.1825,0.49%,0.1025,1.21%,-0.65%,-1.48%,-6.19%,-7.74%,-11.76%,-14.98%,-16.44%,"10,845","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PB,BAC/PB,25.6001,0.04%,0.0103,0.59%,0.59%,1.75%,2.98%,1.59%,0.39%,-7.08%,2.69%,"30,201","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PP,BAC/PP,17.5901,0.23%,0.0401,1.09%,-1.40%,5.20%,3.90%,-4.14%,-8.58%,-29.50%,-29.50%,"12,755","$383,383,578,036",Finance,Major Banks
NYSE:BML/PH,BML/PH,20.5200,-0.24%,-0.0500,0.15%,-0.10%,0.59%,-3.44%,-7.86%,-9.52%,-4.56%,-17.92%,"15,495","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PN,BAC/PN,21.4900,0.09%,0.0200,0.19%,-1.15%,5.81%,4.32%,-1.06%,-5.50%,-19.15%,-13.94%,"30,306","$383,383,578,036",Finance,Major Banks
NYSE:MER/PK,MER/PK,25.9400,0.15%,0.0400,0.15%,1.89%,2.69%,1.93%,1.01%,-0.73%,-1.74%,2.53%,"2,042","$383,383,578,036",Finance,Major Banks
NYSE:BML/PG,BML/PG,20.6000,0.00%,0.0000,0.68%,-0.34%,0.59%,-4.54%,-7.29%,-9.05%,-4.67%,-17.60%,"3,492","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PS,BAC/PS,20.7101,0.44%,0.0901,0.88%,-0.43%,6.64%,5.56%,-0.86%,-7.42%,-16.19%,-16.19%,"23,848","$383,383,578,036",Finance,Major Banks
NYSE:BML/PL,BML/PL,20.7000,0.10%,0.0200,0.39%,0.34%,-0.95%,-5.63%,-11.73%,-14.07%,-16.97%,-17.86%,"5,627","$383,383,578,036",Finance,Major Banks
NYSE:BAC/PO,BAC/PO,18.5800,0.11%,0.0200,0.32%,-1.59%,4.97%,3.97%,-4.37%,-7.93%,-25.83%,-25.83%,"16,325","$383,383,578,036",Finance,Major Banks
OTC:ACGBF,ACGBF,0.7282,-8.28%,-0.0657,5.44%,2.15%,5.74%,34.45%,27.75%,55.10%,96.86%,37.40%,"4,425","$362,445,171,148",Finance,Major Banks
NYSE:PG,PG,152.8300,0.41%,0.6200,1.50%,0.51%,-2.87%,-4.41%,-9.08%,-9.79%,7.81%,10496.14%,"6,331,523","$357,696,392,056",Consumer Non-Durables,Household/Personal Care
OTC:IDCBF,IDCBF,0.7600,-0.30%,-0.0022,8.85%,-2.40%,-4.20%,5.56%,20.63%,26.90%,26.67%,46.15%,"49,702","$355,217,498,489",Finance,Major Banks
OTC:LVMHF,LVMHF,710.5000,-1.76%,-12.7500,1.62%,18.68%,27.82%,25.06%,9.31%,4.19%,40.82%,1311.12%,439,"$354,926,356,455",Consumer Non-Durables,Apparel/Footwear
NYSE:UNH,UNH,363.4950,0.84%,3.0450,3.56%,3.80%,29.36%,-14.18%,-28.45%,-35.66%,10.43%,251399.23%,"2,403,057","$329,207,852,745",Health Services,Managed Health Care
NYSE:GE,GE,304.8200,-0.51%,-1.5700,2.23%,-0.68%,13.39%,53.41%,81.53%,67.58%,672.06%,6294.69%,"1,276,947","$321,528,370,926",Electronic Technology,Aerospace & Defense
NYSE:CVX,CVX,156.0200,-0.34%,-0.5400,2.47%,-1.45%,0.12%,12.79%,7.25%,3.24%,111.04%,3862.41%,"1,764,574","$319,434,394,556",Energy Minerals,Integrated Oil
OTC:SAPGF,SAPGF,272.7740,-1.76%,-4.8759,1.67%,0.60%,-4.62%,-1.20%,11.30%,15.58%,137.63%,826.04%,"70,604","$318,359,323,595",Technology Services,Packaged Software
NYSE:KO,KO,69.8700,-0.10%,-0.0700,2.75%,5.22%,1.07%,-3.83%,12.06%,3.28%,37.00%,26864.88%,"5,744,838","$300,697,257,356",Consumer Non-Durables,Beverages: Non-Alcoholic
NYSE:IBM,IBM,308.6200,8.29%,23.6200,11.76%,13.21%,18.69%,34.80%,39.13%,39.77%,177.34%,2006.65%,"9,331,280","$287,485,463,550",Technology Services,Information Technology Services
OTC:RHHBF,RHHBF,364.0000,-1.30%,-4.7800,-6.67%,1.68%,5.53%,4.16%,22.32%,3.70%,9.31%,191.20%,455,"$279,577,400,584",Health Technology,Pharmaceuticals: Major
NASDAQ:CSCO,CSCO,70.5050,0.33%,0.2350,2.09%,4.14%,3.11%,25.43%,18.96%,25.06%,81.11%,91159.16%,"4,175,298","$278,720,142,684",Electronic Technology,Telecommunications Equipment
NYSE:WFC,WFC,86.2850,2.16%,1.8250,2.17%,1.93%,2.57%,24.93%,22.42%,33.54%,265.92%,8162.66%,"5,778,871","$276,408,917,676",Finance,Major Banks
OTC:RHHVF,RHHVF,340.1360,0.14%,0.4660,-3.08%,3.27%,3.31%,8.83%,18.89%,5.60%,3.45%,334.68%,"12,827","$272,406,058,592",Health Technology,Pharmaceuticals: Major
NYSE:WFC/PY,WFC/PY,24.8901,-0.04%,-0.0099,0.61%,-0.08%,6.37%,8.41%,1.18%,-0.44%,-4.96%,-0.72%,"31,827","$270,562,637,619",Finance,Major Banks
NYSE:WFC/PD,WFC/PD,18.0150,0.31%,0.0550,0.87%,-0.63%,3.83%,4.13%,-1.18%,-8.37%,-27.94%,-27.94%,"20,627","$270,562,637,619",Finance,Major Banks
NYSE:WFC/PZ,WFC/PZ,20.1081,-0.06%,-0.0119,0.59%,0.24%,5.61%,3.70%,-1.82%,-5.15%,-20.58%,-19.60%,"59,996","$270,562,637,619",Finance,Major Banks
NYSE:WFC/PC,WFC/PC,18.5100,0.00%,0.0000,0.82%,0.22%,4.64%,4.28%,-2.01%,-8.18%,-25.51%,-25.51%,"23,841","$270,562,637,619",Finance,Major Banks
NYSE:WFC/PL,WFC/PL,1237.5000,0.09%,1.1300,-0.76%,-1.79%,4.32%,4.98%,3.45%,-1.28%,-9.21%,16.75%,"1,463","$270,562,637,619",Finance,Major Banks
NYSE:WFC/PA,WFC/PA,19.9250,0.03%,0.0050,0.63%,0.13%,5.98%,4.76%,-0.72%,-6.06%,-20.55%,-20.24%,"28,588","$270,562,637,619",Finance,Major Banks
OTC:TOYOF,TOYOF,20.4500,0.25%,0.0500,2.84%,-1.50%,7.63%,9.10%,4.12%,20.65%,-68.81%,-21.35%,"2,898","$266,532,838,281",Consumer Durables,Motor Vehicles
OTC:HESAF,HESAF,2540.0000,-1.51%,-39.0000,1.81%,4.54%,-11.41%,-6.27%,6.05%,12.47%,161.09%,1684.60%,634,"$265,794,842,071",Consumer Non-Durables,Apparel/Footwear
NYSE:MS,MS,163.8400,2.84%,4.5300,1.95%,1.70%,14.64%,41.60%,29.51%,38.38%,213.57%,2309.41%,"2,504,467","$261,543,635,992",Finance,Investment Managers
NYSE:MS/PK,MS/PK,24.7500,0.28%,0.0700,0.08%,-1.36%,3.69%,6.59%,1.68%,-1.71%,-12.14%,-1.79%,"13,201","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PL,MS/PL,21.6099,0.37%,0.0799,1.55%,-1.64%,8.10%,7.83%,2.61%,-8.65%,-19.67%,-13.56%,"7,186","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PO,MS/PO,18.3817,0.23%,0.0416,0.83%,-2.74%,5.76%,4.98%,-0.48%,-7.26%,-26.03%,-26.03%,"21,068","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PE,MS/PE,25.7500,0.04%,0.0100,0.19%,-0.23%,1.26%,1.88%,2.06%,1.66%,-9.52%,2.59%,"12,247","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PF,MS/PF,25.2502,-0.08%,-0.0198,-0.08%,-1.44%,0.04%,0.56%,0.28%,-0.82%,-9.63%,1.41%,"10,962","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PI,MS/PI,25.2076,0.03%,0.0076,0.35%,-0.95%,1.15%,2.18%,0.39%,-1.53%,-9.75%,0.83%,"13,600","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PQ,MS/PQ,26.2701,-0.04%,-0.0099,0.23%,-0.83%,1.43%,2.34%,-1.43%,-1.68%,2.98%,2.98%,"8,540","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PP,MS/PP,25.8500,0.12%,0.0300,0.86%,-0.35%,0.39%,0.98%,0.43%,-2.31%,0.00%,0.00%,"22,073","$254,312,235,412",Finance,Investment Managers
NYSE:MS/PA,MS/PA,20.9938,0.21%,0.0438,-0.17%,-5.43%,-3.48%,-0.03%,-12.27%,-9.51%,-12.56%,-16.76%,"23,872","$254,312,235,412",Finance,Investment Managers
OTC:AZNCF,AZNCF,164.0199,-2.51%,-4.2201,-1.78%,9.34%,9.35%,21.72%,22.81%,7.55%,53.06%,311.08%,295,"$254,273,429,846",Health Technology,Pharmaceuticals: Major
OTC:CICHF,CICHF,0.9419,-6.74%,-0.0681,-6.37%,-3.89%,-0.85%,7.04%,15.22%,17.37%,29.47%,20.76%,679,"$252,314,275,370",Finance,Major Banks
OTC:NSRGF,NSRGF,99.7850,-2.09%,-2.1270,-2.74%,12.62%,8.69%,-4.94%,21.69%,2.66%,-14.75%,368.52%,"4,353","$252,192,723,856",Consumer Non-Durables,Food: Major Diversified
NYSE:AXP,AXP,359.9050,1.40%,4.9750,8.28%,4.94%,16.32%,34.80%,19.97%,33.18%,257.65%,10565.66%,"952,491","$247,921,138,452",Finance,Finance/Rental/Leasing
NYSE:CAT,CAT,525.5100,0.96%,5.0100,-2.21%,11.17%,22.30%,72.24%,43.77%,35.81%,210.27%,15141.30%,"919,936","$246,190,369,267",Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:PM,PM,157.7350,0.02%,0.0350,0.45%,-3.55%,-2.25%,-7.74%,29.99%,19.60%,109.59%,215.47%,"2,664,324","$245,528,617,233",Consumer Non-Durables,Tobacco
NASDAQ:TMUS,TMUS,216.8650,-1.42%,-3.1250,-4.53%,-8.95%,-12.65%,-10.81%,-2.39%,-2.93%,92.77%,332.00%,"2,514,323","$244,063,985,669",Communications,Wireless Telecommunications
NASDAQ:MU,MU,217.3050,5.13%,10.5950,9.05%,31.64%,95.79%,180.21%,155.71%,103.52%,301.74%,15284.42%,"14,253,992","$243,917,469,531",Electronic Technology,Semiconductors
NYSE:CRM,CRM,254.7050,-0.14%,-0.3450,3.30%,3.68%,-4.96%,-3.78%,-24.26%,-11.12%,1.84%,6692.13%,"2,430,829","$242,479,162,901",Technology Services,Packaged Software
NYSE:RTX,RTX,179.0750,-0.20%,-0.3650,14.55%,11.12%,15.38%,45.91%,53.09%,41.70%,183.93%,11694.34%,"1,294,816","$240,098,744,270",Electronic Technology,Aerospace & Defense
OTC:NVSEF,NVSEF,125.8500,-7.78%,-10.6200,-4.28%,1.74%,8.96%,12.96%,28.87%,12.06%,48.76%,212.67%,177,"$239,518,674,002",Health Technology,Pharmaceuticals: Major
OTC:CTATF,CTATF,69.9300,-1.42%,-1.0100,-0.38%,5.95%,24.88%,133.10%,133.10%,133.10%,133.10%,133.10%,350,"$238,532,614,924",Producer Manufacturing,Electrical Products
OTC:NONOF,NONOF,53.3800,-1.35%,-0.7320,-3.68%,-5.27%,-24.25%,-12.16%,-37.97%,-53.58%,49.06%,218.35%,"3,444","$236,963,463,847",Health Technology,Pharmaceuticals: Major
NYSE:GS,GS,779.9800,3.89%,29.2000,2.88%,-3.65%,8.22%,43.22%,34.64%,50.29%,277.24%,926.29%,"1,164,235","$236,116,412,677",Finance,Investment Banks/Brokers
OTC:LRLCF,LRLCF,435.3132,-3.56%,-16.0868,-4.13%,1.10%,-2.70%,0.42%,25.45%,9.82%,25.83%,534.01%,"1,212","$231,758,978,157",Consumer Non-Durables,Household/Personal Care
NYSE:GS/PC,GS/PC,20.9400,-1.51%,-0.3200,-0.48%,-2.42%,-2.97%,-7.18%,-13.44%,-13.86%,-13.18%,-17.23%,"7,363","$227,276,956,217",Finance,Investment Banks/Brokers
NYSE:GS/PD,GS/PD,20.6751,-1.73%,-0.3649,-0.74%,-2.01%,-2.75%,-6.66%,-10.26%,-10.50%,-13.46%,-17.46%,"52,596","$227,276,956,217",Finance,Investment Banks/Brokers
NYSE:GS/PA,GS/PA,21.2162,-1.41%,-0.3038,-0.49%,-1.78%,-2.63%,-4.35%,-7.23%,-12.18%,-9.33%,-15.00%,"31,062","$227,276,956,217",Finance,Investment Banks/Brokers
OTC:HBCYF,HBCYF,13.1450,0.54%,0.0700,1.37%,-6.21%,1.19%,19.50%,36.90%,51.44%,212.83%,10.93%,"2,519","$226,119,941,873",Finance,Major Banks
NASDAQ:SHOP,SHOP,172.6300,3.35%,5.6000,10.75%,14.48%,41.28%,80.22%,60.59%,115.79%,72.37%,6065.36%,"2,949,496","$224,371,201,093",Commercial Services,Miscellaneous Commercial Services
OTC:SFTBF,SFTBF,151.0960,-0.79%,-1.2040,-2.99%,25.91%,82.04%,212.76%,169.81%,149.13%,123.63%,1855.94%,"6,311","$221,004,976,285",Communications,Specialty Telecommunications
NYSE:ABT,ABT,126.9200,0.46%,0.5800,-0.74%,-6.20%,0.91%,-1.82%,11.64%,8.28%,15.76%,76985.19%,"1,992,828","$220,899,047,893",Health Technology,Medical Specialties
OTC:SMAWF,SMAWF,281.7500,-0.23%,-0.6480,-0.32%,2.01%,5.68%,22.50%,46.55%,44.45%,123.01%,465.54%,"22,048","$220,664,001,124",Producer Manufacturing,Industrial Machinery
NYSE:MRK,MRK,87.7550,0.66%,0.5750,5.38%,9.83%,4.27%,9.46%,-12.49%,-17.25%,16.11%,5777.12%,"2,770,995","$219,192,965,757",Health Technology,Pharmaceuticals: Major
NYSE:MCD,MCD,306.6850,-0.09%,-0.2850,-0.04%,1.39%,3.33%,-3.10%,5.41%,2.53%,33.10%,175246.90%,"644,945","$218,851,775,838",Consumer Services,Restaurants
NYSE:TMO,TMO,572.7900,0.15%,0.8800,7.23%,22.42%,19.34%,34.42%,10.33%,0.08%,19.08%,45424.27%,"686,130","$216,292,436,964",Health Technology,Medical Specialties
NASDAQ:APP,APP,625.5185,6.07%,35.8185,4.19%,-4.17%,73.76%,129.72%,88.94%,289.59%,793.60%,793.60%,"2,268,714","$211,581,589,500",Technology Services,Packaged Software
OTC:RYDAF,RYDAF,36.6500,-3.55%,-1.3500,-2.27%,2.81%,2.78%,14.25%,20.44%,14.71%,188.81%,7.01%,314,"$211,129,237,769",Energy Minerals,Integrated Oil
NASDAQ:LIN,LIN,447.4300,-0.59%,-2.6500,0.73%,-6.71%,-5.29%,-0.11%,6.34%,-6.46%,89.27%,5013.49%,"487,634","$209,804,191,862",Process Industries,Chemicals: Specialty
NASDAQ:PEP,PEP,152.0400,0.35%,0.5300,-1.13%,7.21%,4.99%,12.24%,-0.55%,-12.07%,8.43%,20235.36%,"1,454,431","$207,890,379,425",Consumer Non-Durables,Food: Specialty/Candy
NYSE:RY,RY,147.9400,0.32%,0.4700,2.32%,0.18%,12.78%,25.85%,23.18%,19.47%,100.52%,2472.87%,"3,246,947","$207,854,233,525",Finance,Major Banks
OTC:PCCYF,PCCYF,0.9200,-10.68%,-0.1100,-1.60%,3.37%,2.45%,27.96%,18.50%,12.20%,218.12%,187.50%,"70,425","$205,699,848,373",Energy Minerals,Integrated Oil
OTC:BACHF,BACHF,0.5500,1.85%,0.0100,2.56%,-5.17%,-0.69%,-5.55%,19.51%,14.58%,52.78%,7.84%,"188,376","$203,798,633,716",Finance,Major Banks
NYSE:DIS,DIS,111.8800,-1.02%,-1.1500,1.95%,-0.47%,-8.49%,24.21%,0.16%,15.82%,-12.66%,39385.57%,"2,296,541","$201,152,835,610",Consumer Services,Movies/Entertainment
NYSE:UBER,UBER,94.6690,0.06%,0.0590,2.90%,-4.27%,4.62%,20.50%,52.23%,21.36%,159.37%,125.40%,"5,647,472","$197,424,504,295",Transportation,Other Transportation
NASDAQ:ISRG,ISRG,549.7929,-0.27%,-1.5071,25.76%,21.92%,11.64%,7.13%,5.49%,7.64%,123.39%,27389.70%,"1,318,759","$194,899,414,327",Health Technology,Medical Specialties
NYSE:NOW,NOW,936.1566,-0.32%,-3.0134,5.19%,-2.75%,-6.40%,-0.83%,-12.80%,-1.29%,83.89%,3841.71%,"302,790","$194,720,569,256",Technology Services,Packaged Software
NYSE:ANET,ANET,154.6000,1.20%,1.8400,8.10%,6.86%,35.91%,102.33%,38.88%,55.96%,1055.89%,4377.10%,"2,281,483","$194,311,377,118",Electronic Technology,Computer Peripherals
NASDAQ:LRCX,LRCX,152.8200,3.58%,5.2800,7.42%,17.55%,58.04%,117.29%,110.18%,100.60%,324.50%,68669.35%,"5,735,399","$192,710,936,094",Producer Manufacturing,Industrial Machinery
OTC:EADSF,EADSF,242.1100,0.00%,0.0100,0.88%,5.27%,10.98%,48.61%,49.62%,58.24%,199.05%,1860.40%,649,"$191,630,744,752",Electronic Technology,Aerospace & Defense
NASDAQ:INTU,INTU,685.3200,1.12%,7.6000,5.83%,-2.61%,-12.47%,11.24%,7.59%,13.67%,105.60%,29805.17%,"345,133","$191,070,629,320",Technology Services,Packaged Software
NYSE:BX,BX,155.4491,0.30%,0.4691,-1.56%,-15.97%,-13.16%,16.42%,-10.21%,-8.85%,182.63%,332.93%,"1,811,531","$189,408,979,720",Finance,Investment Managers
OTC:CBAUF,CBAUF,112.2500,4.52%,4.8540,4.41%,0.22%,-4.02%,19.39%,18.05%,25.42%,130.02%,457.79%,457,"$187,659,258,031",Finance,Major Banks
NYSE:BLK,BLK,1137.2000,1.08%,12.2000,-2.73%,0.33%,1.33%,24.52%,10.41%,14.75%,78.28%,8022.86%,"292,685","$185,574,921,075",Finance,Investment Managers
NASDAQ:QCOM,QCOM,170.0500,0.01%,0.0200,4.41%,0.59%,7.02%,16.41%,9.70%,2.06%,32.24%,32424.41%,"2,472,156","$183,483,948,682",Electronic Technology,Semiconductors
NASDAQ:AMAT,AMAT,230.0200,0.68%,1.5500,1.57%,15.54%,23.79%,55.21%,39.86%,23.08%,272.80%,415556.23%,"2,326,775","$183,243,698,720",Producer Manufacturing,Industrial Machinery
NYSE:C,C,98.8500,2.23%,2.1600,2.75%,-4.39%,3.63%,45.68%,39.34%,56.88%,123.59%,478.20%,"4,573,955","$181,972,754,808",Finance,Major Banks
OTC:SNEJF,SNEJF,29.4240,0.01%,0.0020,0.08%,-4.31%,11.43%,14.72%,39.52%,72.75%,98.81%,353.93%,"1,412","$179,781,444,562",Electronic Technology,Computer Processing Hardware
NYSE:T,T,25.0000,1.54%,0.3800,-5.27%,-12.85%,-10.43%,-8.96%,9.51%,11.61%,16.83%,544.99%,"29,405,274","$178,759,649,647",Communications,Wireless Telecommunications
NASDAQ:INTC,INTC,38.2650,0.28%,0.1050,5.24%,30.24%,85.08%,93.94%,89.15%,73.22%,-20.86%,94779.74%,"168,331,521","$178,707,563,953",Electronic Technology,Semiconductors
OTC:IDEXF,IDEXF,56.9125,-1.88%,-1.0925,1.69%,8.49%,10.85%,3.60%,8.73%,-2.28%,103.26%,123.03%,632,"$177,135,927,842",Retail Trade,Apparel/Footwear Retail
NYSE:TBB,TBB,23.2500,0.22%,0.0500,0.52%,-1.77%,4.03%,1.31%,-4.67%,-4.12%,-12.99%,-7.81%,"30,195","$176,042,502,973",Communications,Wireless Telecommunications
